Name,Free,Value,Minimum,Maximum,Covariance,Unit
thermal.Crtu_east,TRUE,1.00E+06,1.00E+03,1.00E+07,0,J/K
thermal.Crtu_west,TRUE,1.00E+06,1.00E+03,1.00E+07,0,J/K
thermal.Rrtu_east,TRUE,0.0004,0.0001,0.1,0,K/W
thermal.Rrtu_west,TRUE,0.0004,0.0001,0.1,0,K/W
thermal.Rwest_east,TRUE,0.00001,0.0,0.01,0,K/W
thermal.Rref_fre,TRUE,0.0064,0.00001,0.1,0,K/W
thermal.Cref,TRUE,1.00E+06,1.00E+03,1.00E+07,0,J/K
thermal.Rref,TRUE,0.007,0.0001,0.1,0,K/W
thermal.Cfre,FALSE,112958,1.00E+03,1.00E+07,0,J/K
thermal.Rfre,FALSE,0.1,0.0001,0.1,0,K/W
thermal.RTUEastHeatingCap,FALSE,29300,10000,100000,0,W
thermal.RTUWestHeatingCap,FALSE,29300,10000,100000,0,W
thermal.RTUEastCoolingCap,FALSE,24910,10000,100000,0,W
thermal.RTUWestCoolingCap,FALSE,24910,10000,100000,0,W
thermal.RTUEastHeatingEff,FALSE,9.90E-01,5.00E-01,1.00E+00,0,1
thermal.RTUWestHeatingEff,FALSE,9.90E-01,5.00E-01,1.00E+00,0,1
thermal.RTUEastCoolingCOP,FALSE,2.59,1,10,0,1
thermal.RTUWestCoolingCOP,FALSE,2.59,1,10,0,1
thermal.Trtu_west_0,FALSE,295.34,273,310,0,K
thermal.Trtu_east_0,FALSE,296.27,273,310,0,K
thermal.RefCoolingCap,FALSE,6069,1000,10000,0,W
thermal.RefCoolingCOP,FALSE,1.3,1.00E+00,1.00E+01,0,1
thermal.Tref_0,FALSE,274.4,260,310,0,K
thermal.FreCoolingCap,FALSE,5861,1000,10000,0,W
thermal.FreHeatingCap,FALSE,4500,1000,10000,0,W
thermal.FreHeatingEff,FALSE,0.99,0.5,1,0,1
thermal.FreCoolingCOP,FALSE,1.7,1,10,0,1
thermal.Tfre_0,FALSE,252.15,240,310,0,K
