Time,Break Area,Crawlspace,Employee Area,Freezer,HVAC East,HVAC West,Outdoor,Refrigerator East,Refrigerator Product,Refrigerator West,Break Area_Int,Crawlspace_Int,Employee Area_Int,Freezer_Int,HVAC East_Int,HVAC West_Int,Outdoor_Int,Refrigerator East_Int,Refrigerator Product_Int,Refrigerator West_Int
2018-04-09 13:00:00,18.4,20.3,18.6,-25.3,21.3,21.8,20.2,3.4,,2.8,18.4,20.3,18.6,-25.3,21.3,21.8,20.2,3.4,,2.8
2018-04-09 13:05:00,18.6,20.4,18.7,-25.5,21.3,21.8,20.2,3.3,,2.9,18.6,20.4,18.7,-25.5,21.3,21.8,20.2,3.3,,2.9
2018-04-09 13:10:00,18.6,20.5,18.7,-25.6,21.2,21.8,20.2,3.4,,3.4,18.6,20.5,18.7,-25.6,21.2,21.8,20.2,3.4,,3.4
2018-04-09 13:15:00,18.8,20.6,18.8,-25.7,21.2,21.8,20.2,3.6,,3.7,18.8,20.6,18.8,-25.7,21.2,21.8,20.2,3.6,,3.7
2018-04-09 13:20:00,19.1,20.7,18.9,-25.7,21.2,21.8,20.2,3.3,,2.6,19.1,20.7,18.9,-25.7,21.2,21.8,20.2,3.3,,2.6
2018-04-09 13:25:00,19.2,20.8,19.1,-25.8,21.2,21.8,20.3,3.2,,3.0,19.2,20.8,19.1,-25.8,21.2,21.8,20.3,3.2,,3.0
2018-04-09 13:30:00,19.2,21.0,19.1,-25.9,21.2,21.8,20.3,3.4,,3.6,19.2,21.0,19.1,-25.9,21.2,21.8,20.3,3.4,,3.6
2018-04-09 13:35:00,19.3,21.0,19.2,-25.9,21.0,21.6,20.4,3.6,,3.7,19.3,21.0,19.2,-25.9,21.0,21.6,20.4,3.6,,3.7
2018-04-09 13:40:00,19.3,21.1,19.3,-25.7,20.8,21.4,20.4,3.2,,2.6,19.3,21.1,19.3,-25.7,20.8,21.4,20.4,3.2,,2.6
2018-04-09 13:45:00,19.4,21.1,19.3,-24.3,20.8,21.9,20.4,3.2,,3.0,19.4,21.1,19.3,-24.3,20.8,21.9,20.4,3.2,,3.0
2018-04-09 13:50:00,19.5,21.2,19.4,-23.9,20.8,22.4,20.5,3.4,,3.6,19.5,21.2,19.4,-23.9,20.8,22.4,20.5,3.4,,3.6
2018-04-09 13:55:00,19.5,21.2,19.4,-21.4,20.8,22.7,20.6,,,3.0,19.5,21.2,19.4,-21.4,20.8,22.7,20.6,3.4,,3.0
2018-04-09 14:00:00,19.6,21.2,19.5,-18.2,20.7,22.7,20.7,,,2.5,19.6,21.2,19.5,-18.2,20.7,22.7,20.7,3.4,,2.5
2018-04-09 14:05:00,19.8,,19.5,-15.1,20.7,22.7,20.8,,,3.0,19.8,21.25,19.5,-15.1,20.7,22.7,20.8,3.4,,3.0
2018-04-09 14:10:00,19.8,21.3,19.6,-12.1,20.8,22.4,21.0,,,3.6,19.8,21.3,19.6,-12.1,20.8,22.4,21.0,3.4,,3.6
2018-04-09 14:15:00,20.0,21.4,19.7,-13.0,21.0,22.2,21.2,,,3.4,20.0,21.4,19.7,-13.0,21.0,22.2,21.2,3.4,,3.4
2018-04-09 14:20:00,20.0,21.4,19.7,-16.4,20.8,21.8,21.2,,,2.6,20.0,21.4,19.7,-16.4,20.8,21.8,21.2,3.4,,2.6
2018-04-09 14:25:00,20.1,21.4,19.8,-18.3,20.7,21.7,21.3,,,3.0,20.1,21.4,19.8,-18.3,20.7,21.7,21.3,3.4,,3.0
2018-04-09 14:30:00,20.1,21.6,19.8,-19.4,20.8,21.7,21.4,,,3.9,20.1,21.6,19.8,-19.4,20.8,21.7,21.4,3.4,,3.9
2018-04-09 14:35:00,20.2,21.6,20.0,-20.3,21.0,21.8,21.6,,,3.4,20.2,21.6,20.0,-20.3,21.0,21.8,21.6,3.4,,3.4
2018-04-09 14:40:00,20.3,21.6,20.1,-20.9,21.0,21.7,21.7,,,2.6,20.3,21.6,20.1,-20.9,21.0,21.7,21.7,3.4,,2.6
2018-04-09 14:45:00,20.3,21.6,20.1,-21.6,21.0,21.6,21.8,,,3.2,20.3,21.6,20.1,-21.6,21.0,21.6,21.8,3.4,,3.2
2018-04-09 14:50:00,20.4,21.7,20.2,-21.9,20.8,21.7,21.9,,,3.7,20.4,21.7,20.2,-21.9,20.8,21.7,21.9,3.4,,3.7
2018-04-09 14:55:00,21.1,21.8,20.3,-22.4,21.0,21.7,22.1,,,2.7,21.1,21.8,20.3,-22.4,21.0,21.7,22.1,3.4,,2.7
2018-04-09 15:00:00,21.3,21.9,20.4,-22.7,21.0,21.7,22.2,,,2.6,21.3,21.9,20.4,-22.7,21.0,21.7,22.2,3.4,,2.6
2018-04-09 15:05:00,21.6,21.9,20.5,-22.9,21.0,21.6,22.2,,,3.3,21.6,21.9,20.5,-22.9,21.0,21.6,22.2,3.4,,3.3
2018-04-09 15:10:00,21.6,22.1,20.5,-23.2,21.0,21.4,22.2,,,3.7,21.6,22.1,20.5,-23.2,21.0,21.4,22.2,3.4,,3.7
2018-04-09 15:15:00,21.6,22.1,20.6,-23.4,21.1,21.6,22.2,,,2.6,21.6,22.1,20.6,-23.4,21.1,21.6,22.2,3.4,,2.6
2018-04-09 15:20:00,21.7,22.2,20.7,-23.6,21.2,22.3,22.1,,,2.7,21.7,22.2,20.7,-23.6,21.2,22.3,22.1,3.4,,2.7
2018-04-09 15:25:00,21.7,22.2,20.8,-23.7,21.3,22.5,21.9,,,3.4,21.7,22.2,20.8,-23.7,21.3,22.5,21.9,3.4,,3.4
